country,"Renovation, Cost, School","High Efficiency, Modernisation, Envisage","Intervention, Decree, Upgrading",Electric Vehicle Fleet,High Efficiency Modernisation.
Austria,0.19609999656677246,0.21150000393390656,0.20090000331401825,0.1965000033378601,0.1949000060558319
Belgium,0.8855000138282776,0.029200000688433647,0.031300000846385956,0.02669999934732914,0.027300000190734863
Bulgaria,0.13510000705718994,0.25049999356269836,0.1462000012397766,0.18610000610351562,0.28220000863075256
Croatia,0.14159999787807465,0.45899999141693115,0.12970000505447388,0.10620000213384628,0.16359999775886536
Cyprus,0.14890000224113464,0.2296999990940094,0.1923999935388565,0.20810000598430634,0.2207999974489212
Czechia,0.12620000541210175,0.23389999568462372,0.1378999948501587,0.25,0.25209999084472656
Denmark,0.21170000731945038,0.21789999306201935,0.19269999861717224,0.17599999904632568,0.20180000364780426
Estonia,0.15129999816417694,0.2206999957561493,0.20190000534057617,0.19920000433921814,0.22689999639987946
Finland,0.17339999973773956,0.20980000495910645,0.2003999948501587,0.20239999890327454,0.21400000154972076
France,0.25679999589920044,0.14990000426769257,0.2125999927520752,0.18709999322891235,0.19349999725818634
Germany,0.17509999871253967,0.17010000348091125,0.20679999887943268,0.18889999389648438,0.2590000033378601
Greece,0.19329999387264252,0.1843000054359436,0.24740000069141388,0.18709999322891235,0.18790000677108765
Hungary,0.14219999313354492,0.1834000051021576,0.19609999656677246,0.21170000731945038,0.26669999957084656
Ireland,0.20919999480247498,0.20970000326633453,0.2046000063419342,0.18960000574588776,0.18690000474452972
Italy,0.11919999867677689,0.12160000205039978,0.48420000076293945,0.14489999413490295,0.13009999692440033
Latvia,0.15399999916553497,0.22439999878406525,0.18970000743865967,0.2199999988079071,0.211899995803833
Lithuania,0.1624000072479248,0.22120000422000885,0.19130000472068787,0.21490000188350677,0.2101999968290329
Luxembourg,0.1907999962568283,0.16660000383853912,0.17730000615119934,0.25060001015663147,0.21469999849796295
Malta,0.16979999840259552,0.21089999377727509,0.20200000703334808,0.21119999885559082,0.2061000019311905
Netherlands,0.2660999894142151,0.2084999978542328,0.18359999358654022,0.15960000455379486,0.18219999969005585
Poland,0.14229999482631683,0.22190000116825104,0.16820000112056732,0.2678000032901764,0.19990000128746033
Portugal,0.16949999332427979,0.23829999566078186,0.20589999854564667,0.20190000534057617,0.18440000712871552
Romania,0.17949999868869781,0.2176000028848648,0.1973000019788742,0.2069000005722046,0.19869999587535858
Slovakia,0.12559999525547028,0.2662000060081482,0.1476999968290329,0.12309999763965607,0.33730000257492065
Slovenia,0.14569999277591705,0.15299999713897705,0.19169999659061432,0.30160000920295715,0.20810000598430634
Spain,0.13099999725818634,0.07859999686479568,0.12630000710487366,0.5824000239372253,0.08169999718666077
Sweden,0.17149999737739563,0.1826999932527542,0.17710000276565552,0.2524000108242035,0.21629999577999115
