country,"Power Generation, Transmission, Cybersecurity","Energy, Security, Encourage",Nuclear Fuel Cycle.,Energy Infrastructure.,"Energy, Expansion, Billion"
Austria,0.19290000200271606,0.2078000009059906,0.19550000131130219,0.19470000267028809,0.20919999480247498
Belgium,0.1949000060558319,0.19589999318122864,0.22290000319480896,0.19760000705718994,0.18880000710487366
Bulgaria,0.18719999492168427,0.17389999330043793,0.21070000529289246,0.19580000638961792,0.23240000009536743
Croatia,0.21850000321865082,0.19120000302791595,0.18649999797344208,0.20399999618530273,0.19979999959468842
Cyprus,0.2012999951839447,0.19670000672340393,0.2020999938249588,0.20440000295639038,0.19539999961853027
Czechia,0.17260000109672546,0.2818000018596649,0.16529999673366547,0.22509999573230743,0.1551000028848648
Denmark,0.18520000576972961,0.18639999628067017,0.19930000603199005,0.2329999953508377,0.19609999656677246
Estonia,0.2206999957561493,0.1882999986410141,0.19840000569820404,0.19750000536441803,0.19509999454021454
Finland,0.2092999964952469,0.18860000371932983,0.19169999659061432,0.19949999451637268,0.21080000698566437
France,0.30469998717308044,0.14020000398159027,0.22380000352859497,0.19869999587535858,0.13259999454021454
Germany,0.20730000734329224,0.2777999937534332,0.14730000495910645,0.17520000040531158,0.19249999523162842
Greece,0.1784999966621399,0.1965000033378601,0.20669999718666077,0.21719999611377716,0.20110000669956207
Hungary,0.10670000314712524,0.33660000562667847,0.25440001487731934,0.14229999482631683,0.1599999964237213
Ireland,0.2093999981880188,0.186599999666214,0.1995999962091446,0.21889999508857727,0.18549999594688416
Italy,0.24709999561309814,0.22779999673366547,0.18359999358654022,0.1860000044107437,0.15539999306201935
Latvia,0.22130000591278076,0.19120000302791595,0.1891999989748001,0.1941000074148178,0.20419999957084656
Lithuania,0.2711000144481659,0.17569999396800995,0.17900000512599945,0.1858000010251999,0.188400000333786
Luxembourg,0.21709999442100525,0.19709999859333038,0.20559999346733093,0.19589999318122864,0.1843000054359436
Malta,0.18960000574588776,0.21250000596046448,0.17900000512599945,0.2021999955177307,0.2167000025510788
Netherlands,0.18469999730587006,0.16459999978542328,0.25920000672340393,0.17509999871253967,0.21639999747276306
Poland,0.1039000004529953,0.10029999911785126,0.12460000067949295,0.10040000081062317,0.5708000063896179
Portugal,0.20640000700950623,0.2232999950647354,0.1890999972820282,0.20360000431537628,0.1776999980211258
Romania,0.1987999975681305,0.21639999747276306,0.18160000443458557,0.21359999477863312,0.18960000574588776
Slovakia,0.16539999842643738,0.21170000731945038,0.1981000006198883,0.2110999971628189,0.21359999477863312
Slovenia,0.20020000636577606,0.20160000026226044,0.18400000035762787,0.23389999568462372,0.18039999902248383
Spain,0.2337999939918518,0.19120000302791595,0.19110000133514404,0.21739999949932098,0.1665000021457672
Sweden,0.20489999651908875,0.19869999587535858,0.21080000698566437,0.1914999932050705,0.1940000057220459
