country,"Research, Innovation, Gap","Planning, Innovation, Justice","Public Investment, Digitalisation, Resilience","Research, Innovation, Benefit.",Long-term Planning.
Austria,0.20029999315738678,0.20409999787807465,0.19539999961853027,0.2003999948501587,0.19979999959468842
Belgium,0.1979999989271164,0.1965000033378601,0.19869999587535858,0.1988999992609024,0.2079000025987625
Croatia,0.20469999313354492,0.20499999821186066,0.1932000070810318,0.20090000331401825,0.19619999825954437
Cyprus,0.2012999951839447,0.20020000636577606,0.2003999948501587,0.20110000669956207,0.19699999690055847
Denmark,0.2003999948501587,0.1996999979019165,0.20069999992847443,0.1987999975681305,0.2004999965429306
Estonia,0.19859999418258667,0.19470000267028809,0.20800000429153442,0.1973000019788742,0.2013999968767166
Finland,0.20190000534057617,0.19419999420642853,0.2021999955177307,0.19859999418258667,0.20309999585151672
France,0.20010000467300415,0.19979999959468842,0.19699999690055847,0.19939999282360077,0.2037000060081482
Germany,0.2020999938249588,0.1988999992609024,0.2003999948501587,0.19930000603199005,0.19930000603199005
Greece,0.20909999310970306,0.1914999932050705,0.20059999823570251,0.2012999951839447,0.19750000536441803
Hungary,0.19750000536441803,0.20419999957084656,0.19859999418258667,0.20000000298023224,0.1996999979019165
Ireland,0.19990000128746033,0.2046000063419342,0.19750000536441803,0.1996999979019165,0.19830000400543213
Italy,0.20020000636577606,0.20149999856948853,0.20180000364780426,0.19949999451637268,0.19709999859333038
Lithuania,0.2004999965429306,0.19709999859333038,0.20229999721050262,0.20260000228881836,0.19760000705718994
Luxembourg,0.19920000433921814,0.20080000162124634,0.19949999451637268,0.19840000569820404,0.2020999938249588
Malta,0.19539999961853027,0.20250000059604645,0.20329999923706055,0.20000000298023224,0.19869999587535858
Romania,0.1956000030040741,0.20080000162124634,0.2003999948501587,0.20360000431537628,0.1996999979019165
Slovakia,0.19789999723434448,0.20250000059604645,0.2012999951839447,0.20229999721050262,0.19599999487400055
Slovenia,0.20010000467300415,0.20029999315738678,0.19750000536441803,0.2003999948501587,0.20170000195503235
Spain,0.19920000433921814,0.19619999825954437,0.20190000534057617,0.19939999282360077,0.20329999923706055
Sweden,0.19949999451637268,0.20579999685287476,0.19820000231266022,0.1973000019788742,0.19910000264644623
