country,Public Procurement Justice,"CSR, Support SME, Tourism",Corporate Social Responsibility.,"Sustainability, Investment, Health","CSR, Investment, Tourism"
Austria,0.15150000154972076,0.10279999673366547,0.10220000147819519,0.15539999306201935,0.48820000886917114
Belgium,0.0851999968290329,0.6295999884605408,0.10580000281333923,0.07900000363588333,0.10050000250339508
Croatia,0.20329999923706055,0.1339000016450882,0.1949000060558319,0.14790000021457672,0.3199999928474426
Cyprus,0.1996999979019165,0.19089999794960022,0.20730000734329224,0.20739999413490295,0.19470000267028809
Denmark,0.19920000433921814,0.2029999941587448,0.19460000097751617,0.20329999923706055,0.20000000298023224
Estonia,0.30140000581741333,0.12710000574588776,0.22679999470710754,0.2011999934911728,0.14350000023841858
Finland,0.2092999964952469,0.19169999659061432,0.19619999825954437,0.20350000262260437,0.19920000433921814
France,0.18379999697208405,0.19949999451637268,0.1746000051498413,0.20200000703334808,0.24009999632835388
Germany,0.1234000027179718,0.12280000001192093,0.12540000677108765,0.27889999747276306,0.3495999872684479
Greece,0.2101999968290329,0.19259999692440033,0.19840000569820404,0.20589999854564667,0.19280000030994415
Hungary,0.10719999670982361,0.09730000048875809,0.6288999915122986,0.0803999975323677,0.08619999885559082
Ireland,0.2084999978542328,0.18690000474452972,0.2029999941587448,0.20469999313354492,0.19699999690055847
Italy,0.20329999923706055,0.20579999685287476,0.19499999284744263,0.19949999451637268,0.1964000016450882
Lithuania,0.20020000636577606,0.20059999823570251,0.20110000669956207,0.20080000162124634,0.1973000019788742
Luxembourg,0.16050000488758087,0.17329999804496765,0.32519999146461487,0.16249999403953552,0.17839999496936798
Malta,0.14300000667572021,0.1290999948978424,0.1525000035762787,0.47369998693466187,0.10170000046491623
Slovakia,0.16210000216960907,0.5299000144004822,0.1281999945640564,0.1006999984383583,0.07909999787807465
Slovenia,0.2037000060081482,0.18870000541210175,0.20239999890327454,0.20630000531673431,0.1988999992609024
Spain,0.08179999887943268,0.5956000089645386,0.06790000200271606,0.11410000175237656,0.14059999585151672
Sweden,0.20720000565052032,0.19539999961853027,0.19499999284744263,0.2037999927997589,0.19850000739097595
